"No.,""Time"",""Source"",""Destination"",""Protocol"",""Length"",""Info""";;;;;;;;;;;;;;;;;;time 2;time 1;delay; delay2 ;delay 1;   jitter
"103,""1.982096"",""192.229.232.240"",""192.168.43.22"",""HTTP"",""2774"",""Continuation""";;;;;;;;;;;;;;;;;;;;;;;
"104,""1.982206"",""192.168.43.22"",""192.229.232.240"",""TCP"",""66"",""[TCP Dup ACK 1#3] 52748  >  80 [ACK] Seq=1 Ack=1 Win=515 Len=0 SLE=1361 SRE=5441""";;;;;;;;;;;;;;;;;;;;;;;
"105,""1.982491"",""192.229.232.240"",""192.168.43.22"",""HTTP"",""1414"",""Continuation""";;;;;;;;;;;;;;;;;;;;;;;
"106,""1.982534"",""192.168.43.22"",""192.229.232.240"",""TCP"",""66"",""[TCP Dup ACK 1#4] 52748  >  80 [ACK] Seq=1 Ack=1 Win=515 Len=0 SLE=1361 SRE=6801""";;;;;;;;;;;;;;;;;;;;;;;
"107,""1.982903"",""192.229.232.240"",""192.168.43.22"",""HTTP"",""1414"",""[TCP Fast Retransmission] Continuation""";;;;;;;;;;;;;;;;;;;;;;;
"108,""1.982959"",""192.168.43.22"",""192.229.232.240"",""TCP"",""54"",""52748  >  80 [ACK] Seq=1 Ack=6801 Win=515 Len=0""";;;;;;;;;;;;;;;;;;;;;;;
"109,""1.995929"",""192.229.232.240"",""192.168.43.22"",""TCP"",""1414"",""80  >  52755 [ACK] Seq=48961 Ack=438 Win=147 Len=1360 [TCP segment of a reassembled PDU]""";;;;;;;;;;;;;;;;;;;;;;;
"110,""1.996053"",""192.168.43.22"",""192.229.232.240"",""TCP"",""66"",""[TCP Dup ACK 94#4] 52755  >  80 [ACK] Seq=438 Ack=42161 Win=515 Len=0 SLE=43521 SRE=50321""";;;;;;;;;;;;;;;;;;;;;;;
"111,""2.001865"",""192.229.232.240"",""192.168.43.22"",""TCP"",""1414"",""80  >  52755 [ACK] Seq=50321 Ack=438 Win=147 Len=1360 [TCP segment of a reassembled PDU]""";;;;;;;;;;;;;;;;;;;;;;;
"112,""2.001979"",""192.168.43.22"",""192.229.232.240"",""TCP"",""66"",""[TCP Dup ACK 94#5] 52755  >  80 [ACK] Seq=438 Ack=42161 Win=515 Len=0 SLE=43521 SRE=51681""";;;;;;;;;;;;;;;;;;;;;;;
"113,""2.002352"",""192.229.232.240"",""192.168.43.22"",""TCP"",""1414"",""[TCP Fast Retransmission] 80  >  52755 [ACK] Seq=42161 Ack=438 Win=147 Len=1360 [TCP segment of a reassembled PDU]""";;;;;;;;;;;;;;;;;;;;;;;
"114,""2.002409"",""192.168.43.22"",""192.229.232.240"",""TCP"",""54"",""52755  >  80 [ACK] Seq=438 Ack=51681 Win=515 Len=0""";;;;;;;;;;;;;;;;;;;;;;;
"115,""2.007856"",""192.229.232.240"",""192.168.43.22"",""TCP"",""1414"",""80  >  52755 [ACK] Seq=51681 Ack=438 Win=147 Len=1360 [TCP segment of a reassembled PDU]""";;;;;;;;;;;;;;;;;;;;;;;
"116,""2.047956"",""192.168.43.22"",""192.229.232.240"",""TCP"",""54"",""52755  >  80 [ACK] Seq=438 Ack=53041 Win=515 Len=0""";;;;;;;;;;;;;;;;;;;;;;;
